",id,age,gender,region,income,married,children,car,save_act,current_act,mortgage,pl"
"0,ID12101,48,0,INNER_CITY,17546.0,0,1,0,NO,NO,NO,1"
"1,ID12102,40,1,TOWN,30085.1,1,3,1,NO,YES,YES,0"
"2,ID12103,51,0,INNER_CITY,16575.4,1,0,1,YES,YES,NO,0"
"3,ID12104,23,0,TOWN,20375.4,1,3,0,NO,YES,NO,0"
"4,ID12105,57,0,RURAL,50576.3,1,0,0,YES,NO,NO,0"
"5,ID12106,57,0,TOWN,37869.6,1,2,0,YES,YES,NO,1"
"6,ID12107,22,1,RURAL,8877.07,0,0,0,NO,YES,NO,1"
"7,ID12108,58,1,TOWN,24946.6,1,0,1,YES,YES,NO,0"
"8,ID12109,37,0,SUBURBAN,25304.3,1,2,1,NO,NO,NO,0"
"9,ID12110,54,1,TOWN,24212.1,1,2,1,YES,YES,NO,0"
"10,ID12111,66,0,TOWN,59803.9,1,0,0,YES,YES,NO,0"
"11,ID12112,52,0,INNER_CITY,26658.8,0,0,1,YES,YES,YES,0"
"12,ID12113,44,0,TOWN,15735.8,1,1,0,YES,YES,YES,1"
"13,ID12114,66,0,TOWN,55204.7,1,1,1,YES,YES,YES,1"
"14,ID12115,36,1,RURAL,19474.6,1,0,0,YES,YES,YES,0"
"15,ID12116,38,0,INNER_CITY,22342.1,1,0,1,YES,YES,YES,0"
"16,ID12117,37,0,TOWN,17729.8,1,2,0,NO,NO,YES,0"
"17,ID12118,46,0,SUBURBAN,41016.0,1,0,0,YES,NO,YES,0"
"18,ID12119,62,0,INNER_CITY,26909.2,1,0,0,YES,NO,NO,1"
"19,ID12120,31,1,TOWN,22522.8,1,0,1,YES,YES,NO,0"
"20,ID12121,61,1,INNER_CITY,57880.7,1,2,0,YES,NO,NO,1"
"21,ID12122,50,1,TOWN,16497.3,1,2,0,YES,YES,NO,0"
"22,ID12123,54,1,INNER_CITY,38446.6,1,0,0,YES,YES,NO,0"
"23,ID12124,27,0,TOWN,15538.8,0,0,1,YES,YES,YES,0"
"24,ID12125,22,1,INNER_CITY,12640.3,0,2,1,YES,YES,NO,0"
"25,ID12126,56,1,INNER_CITY,41034.0,1,0,1,YES,YES,YES,0"
